GPS,100,ItemGPS
30Rnd_556x45_Stanag,70,30Rnd_556x45_Stanag
CPW,0, hgun_PDW2000_F
F2000,3800,arifle_Mk20_plain_F
F2000 Camo,3850,arifle_Mk20_F
F2000 Tactical,3750,arifle_Mk20C_F
F2000 Tactical Camo,3750,arifle_Mk20C_F
F2000 EGLM,4900,arifle_Mk20_GL_F
F2000 EGLM Camo,4900,arifle_Mk20_GL_F
GM 6 LYNX,15000,srifle_GM6_F
GM 6 LYNX Camo,15050,srifle_GM6_camo_F
GM 6 LYNX Woodland,15050,srifle_GM6_ghex_F
TAR-20,1800, arifle_TRG20_F
CTAR-21,1750,arifle_TRG21_F
GTAR-21,2600,arifle_TRG21_GL_F
KH2002,1600,arifle_Katiba_F
KH2002C,1500,arifle_Katiba_C_F
KH2002 KGL,2700,KGL arifle_Katiba_GL_F
M200 Intervention,14000,srifle_LRR_F
M200 Intervention Camo,14050,srifle_LRR_camo_F
M200 Intervention Woodland,14050,srifle_LRR_tna_F
Mk14 Mod 1 EBR,4400,srifle_EBR_F
NEGEV NG7,5700,LMG_Zafir_F
Scorpion Evo 3 A1,1000,SMG_02_F
Vector SMG,1400,SMG_01_F
магазин 30 патронов 45кал ,30,30Rnd_45ACP_Mag_SMG_01
"магазин 30 патронов 45кал, зел трасер",30,30Rnd_45ACP_Mag_SMG_01_tracer_green
HK121 Tan,16000,MMG_01_tan_F
HK121 Hex,16050,MMG_01_hex_F
M14 Olive,3000,srifle_DMR_06_olive_F
M14 Camo,3050,srifle_DMR_06_camo_F
Noreen 'Bad News' Black,6000,srifle_DMR_02_F
Noreen 'Bad News' Black Camo,6050,srifle_DMR_02_camo_F
Noreen 'Bad News' Black Tan,6050,srifle_DMR_02_sniper_F
SIG 556 Black,4500,srifle_DMR_03_F
SIG 556 khaki,4530,srifle_DMR_03_khaki_F
SIG 556 Tan,4530,srifle_DMR_03_tan_F
SIG 556 woodland,4550,srifle_DMR_03_woodland_F
SIG 556 Camo,4550,srifle_DMR_03_multicam_F
AK12 7.62,1400,arifle_AK12_F
AK12 7.62 GL,2500,arifle_AK12_GL_F
HK417A5 20 Black,4500,srifle_DMR_07_blk_F
HK417A5 20 Woodland,4550,arifle_SPAR_03_khk_F
HK417A5 20 Sand,4550,arifle_SPAR_03_snd_F
MP5K,0,Weapon_SMG_05_F
QBU 88 Black,400,srifle_DMR_07_blk_F
QBU 88 Woodland,450,srifle_DMR_07_ghex_F
QBU 88 Desert,450,srifle_DMR_07_hex_F
QBZ 95 1 Black,600,arifle_CTAR_blk_F
QBZ 95 1 Woodland,650,arifle_CTAR_ghex_F
QBZ 95 1 Desert,650,arifle_CTAR_hex_F
QBZ 95 1 GL Black,1400,arifle_CTAR_GL_blk_F
